model,n_qubits,grad_var_mean,grad_var_std
QCN,6,0.003461175057757371,0.0009254188340284354
B2-qMPS,6,0.0010533730988806372,0.0003791905513616349
B3-Layer,6,0.006406654272097637,0.0013981945808342752
B5-ResQNet,6,0.0014671787300627747,0.0010360932997914836
B6-Global,6,0.001154499671411475,0.0006095185269078595
B7-Glob96,6,0.0012239895916201524,0.00015445329123964515
QCN,8,0.002900155793877736,0.0007176249420241617
B2-qMPS,8,0.00042121282461725194,0.00013543197201285463
B3-Layer,8,0.003188008792445173,8.66947161679163e-05
B5-ResQNet,8,0.0003228401765229852,0.0002413020211316455
B6-Global,8,8.065085825685785e-06,1.812138463984415e-06
B7-Glob96,8,9.555651045087435e-05,2.929885272589452e-05
QCN,10,0.0015827897176849683,0.0003440118179671282
B2-qMPS,10,6.575302618803434e-05,5.61278313001828e-06
B3-Layer,10,0.0023909851738120606,0.00047226483069102613
B5-ResQNet,10,4.878595973371695e-05,2.377398302390905e-05
B6-Global,10,6.141739189241384e-06,3.1906218122762106e-06
B7-Glob96,10,3.43620359670985e-06,1.5148148763527558e-06
QCN,12,0.0011714923526003472,0.00020826701785932802
B2-qMPS,12,9.475775347162654e-06,2.2612975028028838e-06
B3-Layer,12,0.0022514126437353766,0.00018647475544036625
B5-ResQNet,12,0.0002951217724666757,0.000290477624909564
B6-Global,12,2.5681917363558606e-07,3.326012091565364e-07
B7-Glob96,12,3.720226325884498e-07,2.1244100996901225e-07
QCN,14,0.0005162778911292767,0.00010783966079373884
B2-qMPS,14,6.637739048591648e-06,6.233002767012404e-06
B3-Layer,14,0.0011678097481209934,0.00016289164703780677
B5-ResQNet,14,0.0010322931836595918,0.0007118768845144872
B6-Global,14,3.067809966488559e-08,4.139281887274469e-08
B7-Glob96,14,6.55339834513508e-09,1.9382231219425007e-09
QCN,16,0.0006366527526470506,0.0002467890965811708
B2-qMPS,16,7.291942741441413e-07,3.6134123858232734e-07
B3-Layer,16,0.0009393730307809583,0.0001760312318708266
B5-ResQNet,16,4.0303733039772875e-05,1.9987247013309184e-05
B6-Global,16,1.448334892730376e-09,1.3726960094325188e-09
B7-Glob96,16,2.8757249957841475e-09,2.6106196256563808e-09
QCN,18,0.0007668544075598785,0.00014862001064634434
B2-qMPS,18,2.4142622850737267e-07,9.3617174917581e-08
B3-Layer,18,0.0007240275811690348,0.00010931575193840018
B5-ResQNet,18,0.00024567075259201364,0.00022101647714630086
B6-Global,18,8.727765658613336e-12,1.226257506142898e-11
B7-Glob96,18,8.727765658613336e-12,1.226257506142898e-11
QCN,20,0.00042317142076473286,0.00061459215374862194
B2-qMPS,20,2.694357464094639e-07,2.0639238139428051e-07
B3-Layer,20,0.00039300470911573647,0.00014005212378683784
B5-ResQNet,20,0.0001728959366471124,0.000152951661040513
B6-Global,20,3.557850577493403e-14,2.2630780360862167e-14
B7-Glob96,20,3.5578505774934035e-14,2.2630780360862173e-14
