model,theta,cost
QCN,0.0,0.07663727940782598
QCN,0.106495,0.07661988743117858
QCN,0.212989,0.07662358010803548
QCN,0.319484,0.07671036295663307
QCN,0.425979,0.07695955353339749
QCN,0.532473,0.07746325367974298
QCN,0.638968,0.07832101599275214
QCN,0.745463,0.0796339588287046
QCN,0.851957,0.08149861150413024
QCN,0.958452,0.08400078580751667
QCN,1.064947,0.08720977079747877
QCN,1.171441,0.09117313507786214
QCN,1.277936,0.09591239486404556
QCN,1.384431,0.10141976833916476
QCN,1.490925,0.10765618873826287
QCN,1.59742,0.11455069245277581
QCN,1.703915,0.12200123674632411
QCN,1.810409,0.129876937198985
QCN,1.916904,0.13802165066331448
QCN,2.023399,0.14625876823079575
QCN,2.129893,0.1543970272471226
QCN,2.236388,0.16223710429405455
QCN,2.342883,0.16957871441606287
QCN,2.449377,0.17622791738278465
QCN,2.555872,0.18200432056824226
QCN,2.662367,0.18674787062252232
QCN,2.768861,0.19032494241739525
QCN,2.875356,0.19263346305310616
QCN,2.981851,0.1936068497226389
QCN,3.088345,0.19321659111827735
QCN,3.19484,0.19147336056423114
QCN,3.301335,0.18842661255645912
QCN,3.407829,0.184162680049372
QCN,3.514324,0.17880145471411849
QCN,3.620819,0.1724917936048627
QCN,3.727313,0.16540585047350556
QCN,3.833808,0.15773257592412396
QCN,3.940303,0.14967066564935572
QCN,4.046797,0.14142125858641152
QCN,4.153292,0.13318069597579532
QCN,4.259787,0.1251336476123027
QCN,4.366281,0.11744689327951019
QCN,4.472776,0.11026401630209133
QCN,4.579271,0.10370122375478874
QCN,4.685765,0.09784445606208263
QCN,4.79226,0.09274788985977173
QCN,4.898755,0.08843387473573057
QCN,5.005249,0.0848942796839471
QCN,5.111744,0.0820931617211162
QCN,5.218239,0.07997060998945797
QCN,5.324733,0.07844756646802009
QCN,5.431228,0.0774313814862008
QCN,5.537723,0.07682183050398671
QCN,5.644217,0.07651729951064405
QCN,5.750712,0.07642084074143889
QCN,5.857207,0.07644580845354731
QCN,5.963701,0.07652080584950359
QCN,6.070196,0.07659370789774796
QCN,6.176691,0.07663456922513968
QCN,6.283185,0.076637279407826
B2-qMPS,0.0,1.2582593389707963e-05
B2-qMPS,0.106495,1.300766888339155e-05
B2-qMPS,0.212989,1.3477758220049847e-05
B2-qMPS,0.319484,1.3989390895215901e-05
B2-qMPS,0.425979,1.453844092124698e-05
B2-qMPS,0.532473,1.5120098057862127e-05
B2-qMPS,0.638968,1.5728858559294862e-05
B2-qMPS,0.745463,1.6358538424172026e-05
B2-qMPS,0.851957,1.7002311217438296e-05
B2-qMPS,0.958452,1.765277149303053e-05
B2-qMPS,1.064947,1.8302023727983356e-05
B2-qMPS,1.171441,1.894179553306566e-05
B2-qMPS,1.277936,1.9563572783857188e-05
B2-qMPS,1.384431,2.0158753270093012e-05
B2-qMPS,1.490925,2.0718814538179324e-05
B2-qMPS,1.59742,2.1235490844646547e-05
B2-qMPS,1.703915,2.1700953582454894e-05
B2-qMPS,1.810409,2.2107989214361978e-05
B2-qMPS,1.916904,2.2450168664593007e-05
B2-qMPS,2.023399,2.2722002287929317e-05
B2-qMPS,2.129893,2.2919074948861528e-05
B2-qMPS,2.236388,2.3038156386662757e-05
B2-qMPS,2.342883,2.3077282888925056e-05
B2-qMPS,2.449377,2.3035807311181155e-05
B2-qMPS,2.555872,2.291441562084995e-05
B2-qMPS,2.662367,2.2715109361739288e-05
B2-qMPS,2.768861,2.2441154679039285e-05
B2-qMPS,2.875356,2.20969997611904e-05
B2-qMPS,2.981851,2.1688163692645853e-05
B2-qMPS,3.088345,2.122110072226489e-05
B2-qMPS,3.19484,2.070304479326719e-05
B2-qMPS,3.301335,2.0141839817557296e-05
B2-qMPS,3.407829,1.9545761583723027e-05
B2-qMPS,3.514324,1.892333734857518e-05
B2-qMPS,3.620819,1.8283169071904183e-05
B2-qMPS,3.727313,1.763376591941905e-05
B2-qMPS,3.833808,1.6983391096694157e-05
B2-qMPS,3.940303,1.633992731447116e-05
B2-qMPS,4.046797,1.5710764258455218e-05
B2-qMPS,4.153292,1.5102710387815523e-05
B2-qMPS,4.259787,1.4521930263930907e-05
B2-qMPS,4.366281,1.3973907465456325e-05
B2-qMPS,4.472776,1.3463432029270475e-05
B2-qMPS,4.579271,1.2994610319305602e-05
B2-qMPS,4.685765,1.2570894312633963e-05
B2-qMPS,4.79226,1.2195126544778543e-05
B2-qMPS,4.898755,1.1869596406171627e-05
B2-qMPS,5.005249,1.1596103152123222e-05
B2-qMPS,5.111744,1.1376020892468698e-05
B2-qMPS,5.218239,1.1210360966104938e-05
B2-qMPS,5.324733,1.1099827471170876e-05
B2-qMPS,5.431228,1.1044862294240387e-05
B2-qMPS,5.537723,1.104567673276605e-05
B2-qMPS,5.644217,1.110226769710265e-05
B2-qMPS,5.750712,1.1214417468107162e-05
B2-qMPS,5.857207,1.1381677025593584e-05
B2-qMPS,5.963701,1.160333400148122e-05
B2-qMPS,6.070196,1.187836729894924e-05
B2-qMPS,6.176691,1.2205391307464144e-05
B2-qMPS,6.283185,1.2582593389708275e-05
B3-Layer,0.0,0.23689008028065664
B3-Layer,0.106495,0.23448185592496243
B3-Layer,0.212989,0.23368490127116284
B3-Layer,0.319484,0.23443703268061536
B3-Layer,0.425979,0.23661069239460397
B3-Layer,0.532473,0.24001977342627587
B3-Layer,0.638968,0.24442902596303198
B3-Layer,0.745463,0.24956560889288368
B3-Layer,0.851957,0.2551322539820667
B3-Layer,0.958452,0.2608214383272018
B3-Layer,1.064947,0.266329916222064
B3-Layer,1.171441,0.2713729465145663
B3-Layer,1.277936,0.2756975665514078
B3-Layer,1.384431,0.2790943082227529
B3-Layer,1.490925,0.2814068234050376
B3-Layer,1.59742,0.2825389819967032
B3-Layer,1.703915,0.2824591213993702
B3-Layer,1.810409,0.28120125647250466
B3-Layer,1.916904,0.27886319778362584
B3-Layer,2.023399,0.2756016670998139
B3-Layer,2.129893,0.2716246361259966
B3-Layer,2.236388,0.2671812412817614
B3-Layer,2.342883,0.2625497380765825
B3-Layer,2.449377,0.25802404837367837
B3-Layer,2.555872,0.25389951845709435
B3-Layer,2.662367,0.2504585424027918
B3-Layer,2.768861,0.2479567121386498
B3-Layer,2.875356,0.2466101324401934
B3-Layer,2.981851,0.24658448698670335
B3-Layer,3.088345,0.24798636284579154
B3-Layer,3.19484,0.250857238918437
B3-Layer,3.301335,0.25517042356066394
B3-Layer,3.407829,0.2608310932389881
B3-Layer,3.514324,0.2676794437023385
B3-Layer,3.620819,0.27549682410989235
B3-Layer,3.727313,0.2840145892206292
B3-Layer,3.833808,0.2929252812485603
B3-Layer,3.940303,0.30189564690643583
B3-Layer,4.046797,0.3105809113034871
B3-Layer,4.153292,0.3186396725295941
B3-Layer,4.259787,0.3257487515745416
B3-Layer,4.366281,0.33161733302849156
B3-Layer,4.472776,0.33599976276625915
B3-Layer,4.579271,0.3387064281580637
B3-Layer,4.685765,0.33961223160685644
