model,theta1,theta2,cost
QCN,0.0,0.0,0.20766781308835078
QCN,0.261799,0.0,0.2117310178455848
QCN,0.523599,0.0,0.21460021308583266
QCN,0.785398,0.0,0.21603981212347104
QCN,1.047198,0.0,0.21592958752070504
QCN,1.308997,0.0,0.2142787917310205
QCN,1.570796,0.0,0.211225060106054
QCN,1.832596,0.0,0.2070182960100504
QCN,2.094395,0.0,0.20199244095321403
QCN,2.356194,0.0,0.19653005442362093
QCN,2.617994,0.0,0.19102551017867142
QCN,2.879793,0.0,0.1858521929830076
QCN,3.141593,0.0,0.18133751950756385
QCN,3.403392,0.0,0.177747360688308
QCN,3.665191,0.0,0.17527912242668628
QCN,3.926991,0.0,0.17406095530970078
QCN,4.18879,0.0,0.17415375427082794
QCN,4.45059,0.0,0.17555293604318753
QCN,4.712389,0.0,0.17818828504788864
QCN,4.974188,0.0,0.18192200320591448
QCN,5.235988,0.0,0.1865469012841243
QCN,5.497787,0.0,0.1917878558930648
QCN,5.759587,0.0,0.19730982577965298
QCN,6.021386,0.0,0.20273475699264198
QCN,6.283185,0.0,0.20766781308835078
QCN,0.0,0.261799,0.17052980123746916
QCN,0.261799,0.261799,0.17509969282511864
QCN,0.523599,0.261799,0.18090521516614747
QCN,0.785398,0.261799,0.18762892427550948
QCN,1.047198,0.261799,0.19486169373049878
QCN,1.308997,0.261799,0.20211744414538338
QCN,1.570796,0.261799,0.2088644407556877
QCN,1.832596,0.261799,0.2145715160238517
QCN,2.094395,0.261799,0.2187633915957002
QCN,2.356194,0.261799,0.22107620530999808
QCN,2.617994,0.261799,0.2213032594925781
QCN,2.879793,0.261799,0.2194222588762139
QCN,3.141593,0.261799,0.2155986579088056
QCN,3.403392,0.261799,0.21016439954598984
QCN,3.665191,0.261799,0.2035761701206936
QCN,3.926991,0.261799,0.19636113934910263
QCN,4.18879,0.261799,0.18906008289654144
QCN,4.45059,0.261799,0.18217737759459462
QCN,4.712389,0.261799,0.17614480107098573
QCN,4.974188,0.261799,0.17130209257798823
QCN,5.235988,0.261799,0.16789292409040682
QCN,5.497787,0.261799,0.1660714320383383
QCN,5.759587,0.261799,0.1659126648533302
QCN,6.021386,0.261799,0.16742062035675656
QCN,6.283185,0.261799,0.17052980123746928
QCN,0.0,0.523599,0.1293125309833648
QCN,0.261799,0.523599,0.1335772579599162
QCN,0.523599,0.523599,0.14052480197196396
QCN,0.785398,0.523599,0.15005993317840224
QCN,1.047198,0.523599,0.16190540314381033
QCN,1.308997,0.523599,0.17552101305009968
QCN,1.570796,0.523599,0.1900688714183835
QCN,1.832596,0.523599,0.204446382324869
QCN,2.094395,0.523599,0.21739117699785906
QCN,2.356194,0.523599,0.2276428552707178
QCN,2.617994,0.523599,0.2341302272121003
QCN,2.879793,0.523599,0.2361441387606018
QCN,3.141593,0.523599,0.23345735533696935
QCN,3.403392,0.523599,0.22636416020887187
QCN,3.665191,0.523599,0.21563050806561004
QCN,3.926991,0.523599,0.20236611336450502
QCN,4.18879,0.523599,0.18784747768273635
QCN,4.45059,0.523599,0.17333107243332638
QCN,4.712389,0.523599,0.15989615647989616
QCN,4.974188,0.523599,0.1483471137249565
QCN,5.235988,0.523599,0.1391884271831805
QCN,5.497787,0.523599,0.1326660124049889
QCN,5.759587,0.523599,0.12885180617996675
QCN,6.021386,0.523599,0.1277386899745862
QCN,6.283185,0.523599,0.12931253098336476
QCN,0.0,0.785398,0.09525876502845683
QCN,0.261799,0.785398,0.09830045570794754
QCN,0.523599,0.785398,0.10413045666887376
QCN,0.785398,0.785398,0.11314839573469503
QCN,1.047198,0.785398,0.12560765342336838
QCN,1.308997,0.785398,0.14136553215407383
QCN,1.570796,0.785398,0.15970370683646576
QCN,1.832596,0.785398,0.1792819086575573
QCN,2.094395,0.785398,0.19825352565933183
QCN,2.356194,0.785398,0.21452874074078346
QCN,2.617994,0.785398,0.2261304867277325
