model,n_qubits,depth,grad_var_mean,grad_var_std
QCN,2,1,0.12301204030696007,0.020587178476444274
QCN,2,2,0.04081140191724387,0.017196876730788374
QCN,2,3,0.05020350860704675,0.04028629882025625
QCN,2,4,0.06474321178452945,0.010481088918569774
QCN,2,5,0.03677512899127106,0.008339665384259032
QCN,2,10,0.05729052081425412,0.020337595539329113
QCN,2,15,0.05719305696470293,0.012004855405179132
QCN,2,20,0.05354474506497269,0.016651441800558307
QCN,2,25,0.06809967239794633,0.026581802456414342
QCN,4,1,0.03774680672430589,0.013854574381694459
QCN,4,2,0.012297450494985615,0.002772918428170948
QCN,4,3,0.011266469595011,0.005901899076489584
QCN,4,4,0.004654400221968608,0.0013562080266893732
QCN,4,5,0.008353928990215094,0.0031259514703823104
QCN,4,10,0.00307869809190503,0.001199343729559252
QCN,4,15,0.001707123124123233,0.0006213267096770002
QCN,4,20,0.001308591641432688,0.000162473145558668
QCN,4,25,0.002658501327318876,0.0006818415207648603
QCN,6,1,0.01200989794225686,0.003349099428397819
QCN,6,2,0.003461175057757371,0.0009254188340284356
QCN,6,3,0.005279355883765525,0.0011965479889193928
QCN,6,4,0.0022911642128560865,0.0005016648300748392
QCN,6,5,0.002572746842815983,0.0007705772242738434
QCN,6,10,0.000514878909256768,0.00011961371605952756
QCN,6,15,0.00027983510795348294,0.00015734592008516423
QCN,6,20,0.00011987456434873681,3.653452221286495e-05
QCN,6,25,0.000153578866919901,5.1102607461324e-05
QCN,8,1,0.008444475203998212,0.0013577251817995897
QCN,8,2,0.0029001557938777363,0.000717624942024162
QCN,8,3,0.003005727323857375,0.0013227817821945492
QCN,8,4,0.0015466057299764284,0.0007105534355759545
QCN,8,5,0.0020504134098480163,0.0001637269728349187
QCN,8,10,0.0003792696502576682,0.00013147066607593062
QCN,8,15,0.00010452927408629751,2.102020957469766e-05
QCN,8,20,1.0138053146142094e-05,1.2279549952619765e-06
QCN,8,25,1.6868414964252073e-05,1.466459971743977e-05
QCN,10,1,0.0050505523850780665,0.0019758862189979427
QCN,10,2,0.0015827897176849683,0.0003440118179671282
QCN,10,3,0.0018665523492618552,0.0004244254987328811
QCN,10,4,0.0007600671356735124,7.931393064529267e-05
QCN,10,5,0.0020942296085862985,0.0003226143033696973
QCN,10,10,0.00019775538035087434,5.816235652318022e-05
QCN,10,15,0.0001025751194960655,2.830882292574814e-05
QCN,10,20,1.2973479217426904e-05,8.497275066623387e-06
QCN,10,25,7.427536404790301e-06,2.900332146115805e-06
QCN,12,1,0.003076453609696718,0.0007936731201507048
QCN,12,2,0.0011714923526003472,0.00020826701785932816
QCN,12,3,0.0013962480303675376,0.0005339164427688003
QCN,12,4,0.00048645029994361376,0.00017763222857516815
QCN,12,5,0.0014606970765385927,0.0001417682712034207
QCN,12,10,0.0002132861885265026,5.5267709585778026e-05
QCN,12,15,5.1497066063127826e-05,1.7912852644072846e-05
QCN,12,20,4.962549974533119e-06,1.755512317164065e-06
QCN,12,25,5.576801338859881e-06,2.769292912000998e-06
QCN,14,1,0.0017283472120206715,0.0005185200659535693
QCN,14,2,0.0005162778911292767,0.00010783966079373891
QCN,14,3,0.0015917301666860256,0.00027247780908956713
QCN,14,4,0.0005940515304396189,0.00045833776204679623
QCN,14,5,0.0008972606173187229,0.0001833385410121727
QCN,14,10,0.0001436466302747056,7.312273357495642e-05
QCN,14,15,2.7695970697333055e-05,1.878894811041867e-05
QCN,14,20,2.632487519736012e-06,7.667336227226777e-07
QCN,14,25,2.5841262428959293e-06,3.7476182807982186e-07
QCN,18,1,0.0013878069290258193,0.00026725375025194283
QCN,18,2,0.0007668544075598785,0.00014862001064634434
QCN,18,3,0.0006624454721488463,0.00025528770096531746
QCN,18,4,0.00018107517561144235,3.9177151980883934e-05
QCN,18,5,0.0005304018819818078,0.00011377519940169223
QCN,18,10,6.688415981102815e-05,4.179073154086055e-05
QCN,18,15,2.238620942880494e-05,7.403220953873938e-06
QCN,18,20,1.4756956188522082e-06,6.419781300685337e-07
QCN,18,25,2.131759836090354e-06,2.11261929727987e-06
B2-qMPS,2,1,0.015375207934247988,0.006804550977287373
B2-qMPS,2,2,0.05518801378529579,0.013022029881528098
B2-qMPS,2,3,0.045235869313775934,0.015380525117440055
B2-qMPS,2,4,0.05675968228172585,0.004421653994876414
B2-qMPS,2,5,0.053108693116210755,0.011210365571474746
B2-qMPS,2,10,0.04687096575415342,0.014004113054095471
B2-qMPS,2,15,0.06483668222977453,0.02237420312653356
B2-qMPS,2,20,0.053831562219135716,0.002627245393226644
B2-qMPS,2,25,0.06595672398384037,0.02637694391691836
B2-qMPS,4,1,0.0011895622302293396,0.0005678993208478059
B2-qMPS,4,2,0.002698214876845377,0.001510240885317985
B2-qMPS,4,3,0.0033410118800840626,0.0010811147059469899
B2-qMPS,4,4,0.0037046067614105427,0.0010777584047713907
B2-qMPS,4,5,0.0029605519752899426,0.0012151462733288726
B2-qMPS,4,10,0.0039021213256842523,0.0015480701792901898
B2-qMPS,4,15,0.0026014568261146288,0.0006968645200709815
B2-qMPS,4,20,0.004834651018939991,0.0017505541007715052
B2-qMPS,4,25,0.0040336314030162525,0.001848641389991119
B2-qMPS,6,1,0.0005061861148123853,0.0004626326296788538
B2-qMPS,6,2,0.0010533730988806372,0.0003791905513616349
B2-qMPS,6,3,0.0002323573442263862,9.706579260282266e-05
B2-qMPS,6,4,0.00015361590578432185,6.781451312689616e-05
B2-qMPS,6,5,0.00023513182207787615,0.00012099367614964696
B2-qMPS,6,10,0.00014276234208117743,3.4438039094198356e-05
B2-qMPS,6,15,0.00017071933535285047,9.239904282815416e-05
B2-qMPS,6,20,0.00018200134872135897,4.208124964313579e-05
B2-qMPS,6,25,0.00011430564407012469,3.4709568471528066e-05
B2-qMPS,8,1,4.276826845599947e-05,4.942649289637204e-05
B2-qMPS,8,2,0.00042121282461725194,0.0001354319720128546
B2-qMPS,8,3,6.396488560647349e-05,5.871885277601258e-05
B2-qMPS,8,4,6.461009263199377e-05,3.467094541629817e-05
B2-qMPS,8,5,3.5891525300882896e-05,1.0165096549466337e-05
B2-qMPS,8,10,1.0582223693212567e-05,3.440046492733871e-06
B2-qMPS,8,15,8.146896044253037e-06,4.344712087829708e-06
B2-qMPS,8,20,5.373288313811681e-06,1.9632866462682998e-06
B2-qMPS,8,25,6.03709345141182e-06,1.936814507769059e-06
B2-qMPS,10,1,5.083108404427738e-06,4.311439937417571e-06
B2-qMPS,10,2,6.575302618803436e-05,5.6127831300182835e-06
B2-qMPS,10,3,1.4509265286793041e-05,4.323816094812739e-06
B2-qMPS,10,4,6.587852203519036e-06,4.234145745283537e-06
B2-qMPS,10,5,1.8515781635655223e-06,1.2941666932848265e-06
B2-qMPS,10,10,5.167140649655177e-07,2.965758630623323e-07
B2-qMPS,10,15,6.057819258135191e-07,3.4325633307464907e-07
B2-qMPS,10,20,7.962806960081263e-07,8.344802745164071e-07
B2-qMPS,10,25,4.309916736286198e-07,3.151799934508902e-07
B2-qMPS,12,1,3.2652505993254914e-06,4.286475640999754e-06
B2-qMPS,12,2,9.475775347162654e-06,2.261297502802883e-06
B2-qMPS,12,3,9.892005890783085e-06,2.8542303011413065e-06
B2-qMPS,12,4,3.4305887043926878e-06,1.116138410494868e-06
B2-qMPS,12,5,5.007436005434758e-07,2.27854136851639e-07
B2-qMPS,12,10,3.01337197886708e-08,1.3802730848709164e-08
B2-qMPS,12,15,1.0663301914734622e-08,5.233550769625474e-09
B2-qMPS,12,20,2.445108663834766e-08,8.848381134332623e-09
B2-qMPS,12,25,1.786700426996801e-08,5.95551667075257e-09
B2-qMPS,14,1,2.3039291385062256e-07,1.291270295852324e-07
B2-qMPS,14,2,6.637739048591647e-06,6.233002767012403e-06
B2-qMPS,14,3,3.117255347268796e-06,1.897477323553772e-06
B2-qMPS,14,4,4.858205467023621e-07,4.0070347154534795e-07
B2-qMPS,14,5,2.9048378328287613e-07,3.126020793501598e-07
B2-qMPS,14,10,9.12838823250251e-09,5.726094804465746e-09
B2-qMPS,14,15,2.708728650137657e-10,1.7530683456026986e-10
B2-qMPS,14,20,2.7035689578489875e-09,1.9775732030509312e-09
B2-qMPS,14,25,1.5864725992544427e-09,5.463608597747348e-10
B2-qMPS,18,1,3.421740742224379e-08,4.2413542261933456e-08
B2-qMPS,18,2,2.4142622850737267e-07,9.361717491758103e-08
B2-qMPS,18,3,2.1368565949760997e-07,2.122449115190582e-07
B2-qMPS,18,4,3.9601047527541534e-07,3.3203953942897753e-07
B2-qMPS,18,5,3.760424591497516e-08,2.6950294316823295e-08
B2-qMPS,18,10,1.4720629390840494e-10,4.293786216922956e-11
B2-qMPS,18,15,1.4130063218752866e-11,2.206754978753938e-12
B2-qMPS,18,20,7.509689510311296e-12,7.729308805122064e-12
B2-qMPS,18,25,6.421877905658066e-13,2.4053017977576855e-13
B3-Layer,2,1,0.22846087379668925,0.045317551350707294
B3-Layer,2,2,0.05676974447393388,0.005204085487073619
B3-Layer,2,3,0.14282434699270904,0.014407445557049354
B3-Layer,2,4,0.03098804419185151,0.008474093932664227
B3-Layer,2,5,0.07327481165118914,0.006741814667493342
B3-Layer,2,10,0.026513038595246258,0.0034613911104007006
B3-Layer,2,15,0.07667996478254997,0.006402843445628363
B3-Layer,2,20,0.021362377190016848,0.006363510296367449
B3-Layer,2,25,0.08361145553300335,0.008326415747933079
B3-Layer,4,1,0.06700893228301243,0.012323740717316019
B3-Layer,4,2,0.01538911512145977,0.0031052779870976593
B3-Layer,4,3,0.013705755221844008,0.002171116330047352
B3-Layer,4,4,0.006531239417691682,0.0017508458281576917
B3-Layer,4,5,0.006360718661009443,0.0025663271664889465
B3-Layer,4,10,0.0017497417327184078,0.0005178689102452664
B3-Layer,4,15,0.00186914591914343,0.00040402116782704725
B3-Layer,4,20,0.00046225792640092623,0.0001550199673537561
B3-Layer,4,25,0.001221978151424093,0.0001911034938892327
B3-Layer,6,1,0.032386661142738124,0.004446391319806
B3-Layer,6,2,0.006406654272097636,0.001398194580834275
B3-Layer,6,3,0.008337130816976608,0.0017061318393751365
B3-Layer,6,4,0.003245139711982717,0.0009872021663830971
B3-Layer,6,5,0.004466767781131523,0.002070850702245923
B3-Layer,6,10,0.00037804951673627057,8.994398420242381e-05
B3-Layer,6,15,0.0001910060877014783,7.64917443648398e-05
B3-Layer,6,20,4.276177612272227e-05,8.160100848490793e-06
B3-Layer,6,25,4.831661492689465e-05,1.0935415327816777e-05
B3-Layer,8,1,0.01968482913964371,0.0027588611115585363
B3-Layer,8,2,0.003188008792445173,8.66947161679163e-05
B3-Layer,8,3,0.004757420259072955,0.0006304798418888597
B3-Layer,8,4,0.0014759674723848067,0.00013159000178702138
B3-Layer,8,5,0.0020600898007356087,0.0008252109768302216
B3-Layer,8,10,0.00025618561457290957,7.59600908379097e-05
B3-Layer,8,15,9.426286842282082e-05,6.366712222314558e-05
B3-Layer,8,20,1.546199099054405e-05,1.2672201918697034e-05
B3-Layer,8,25,7.485589880934138e-06,1.9103274306506318e-06
B3-Layer,10,1,0.011764836277502777,0.0006664550851158484
B3-Layer,10,2,0.0023909851738120606,0.00047226483069102613
B3-Layer,10,3,0.002438928358240638,0.00040141660878198514
B3-Layer,10,4,0.001251037610339349,0.00018010804047365037
B3-Layer,10,5,0.0010096114131512865,0.00019725386389096873
B3-Layer,10,10,0.00015437852181210716,7.890584926936914e-06
B3-Layer,10,15,4.2284262023594354e-05,2.4463856468622436e-05
B3-Layer,10,20,6.38742867872519e-06,2.2228242957690977e-06
B3-Layer,10,25,3.4553496345649604e-06,1.1264585385189388e-06
B3-Layer,12,1,0.0064181034545501186,0.0007843062209663813
B3-Layer,12,2,0.0022514126437353766,0.00018647475544036606
B3-Layer,12,3,0.0019033824752641485,0.00019896668707383074
B3-Layer,12,4,0.0006763249997910147,0.00015197391189522666
B3-Layer,12,5,0.0012851306908520075,7.521959869580438e-05
B3-Layer,12,10,0.00010059924701656202,2.056830756777737e-05
B3-Layer,12,15,3.872057586274892e-05,8.281679226185957e-06
B3-Layer,12,20,1.8679786290322076e-06,4.140627006084559e-07
B3-Layer,12,25,1.2194026801136283e-06,3.0208944377132775e-07
B3-Layer,14,1,0.005013867557826612,0.0007455117697093767
B3-Layer,14,2,0.0011678097481209934,0.00016289164703780658
B3-Layer,14,3,0.0021037482317408014,0.0002691220746006425
B3-Layer,14,4,0.0005761654649998444,8.083665344522806e-05
B3-Layer,14,5,0.0006785939271472317,4.682438201238287e-05
B3-Layer,14,10,9.644158130011958e-05,1.8855160611386144e-05
B3-Layer,14,15,2.2893555236748166e-05,7.831814438281119e-06
B3-Layer,14,20,2.6646459679456588e-06,1.5814082402077931e-06
B3-Layer,14,25,8.952993372924287e-07,4.5997127958895444e-07
B3-Layer,18,1,0.0032382801577577297,0.0004920397264703583
B3-Layer,18,2,0.0007240275811690347,0.0001093157519384001
B3-Layer,18,3,0.0009340788480160226,0.0003781318084974729
B3-Layer,18,4,0.0003170168707751564,2.8967375862301734e-05
B3-Layer,18,5,0.000415306770124476,0.00010683992024950461
B3-Layer,18,10,3.141815344608197e-05,4.478544094027835e-06
B3-Layer,18,15,1.4103362596441225e-05,2.8547505762732287e-06
B3-Layer,18,20,2.1955325712232572e-06,1.0091181410378205e-06
B3-Layer,18,25,1.0896548630281738e-06,4.5738881093120374e-07
B5-ResQNet,2,1,0.027733052714292373,0.010633118841482212
B5-ResQNet,2,2,0.0632770683839245,0.019631487043111844
B5-ResQNet,2,3,0.048134806590835376,0.019621583878204518
B5-ResQNet,2,4,0.07595597358874698,0.017918930196462214
B5-ResQNet,2,5,0.05269771442325649,0.018533416200488515
B5-ResQNet,2,10,0.04853541090767094,0.01282014137262553
B5-ResQNet,2,15,0.04440607392299136,0.007317206325564673
B5-ResQNet,2,20,0.07210146900916678,0.017129048197669913
B5-ResQNet,2,25,0.05272457416499232,0.011287361228878188
B5-ResQNet,4,1,0.01530626377793478,0.004574921820817515
B5-ResQNet,4,2,0.0045108242613918345,0.0017042583134243513
B5-ResQNet,4,3,0.0026148660513441633,0.0013106336535357857
B5-ResQNet,4,4,0.005667656832324185,0.0018073965106766082
B5-ResQNet,4,5,0.00778132858684141,0.001675391502241799
B5-ResQNet,4,10,0.007502849438898433,0.0016960623864432538
B5-ResQNet,4,15,0.0030036535990627024,0.0010666596735748293
B5-ResQNet,4,20,0.005521661770725457,0.0008060748420861136
B5-ResQNet,4,25,0.008179100960504235,0.004789965729243198
B5-ResQNet,6,1,0.012734885396595503,0.002589717228475645
B5-ResQNet,6,2,0.0014671787300627747,0.0010360932997914836
B5-ResQNet,6,3,0.0007242759197035178,0.0004680402397953126
