model,init_strategy,seed,gradient
QCN,uniform,0,0.004982557496876955
QCN,uniform,1,0.049565772736094776
QCN,uniform,2,-0.009705904654972772
QCN,uniform,3,-0.0025798755453628045
QCN,uniform,4,0.0004693399842508979
QCN,uniform,5,0.014064956937225358
QCN,uniform,6,-0.04505777445921213
QCN,uniform,7,-0.0008583439366235211
QCN,uniform,8,-0.0002526536331393749
QCN,uniform,9,-0.0007423698427814014
QCN,uniform,10,0.03143488491715135
QCN,uniform,11,-0.02530933831300248
QCN,uniform,12,0.001742046014048042
QCN,uniform,13,-0.004221341923364387
QCN,uniform,14,0.121561960939748
QCN,uniform,15,-0.03416732584732608
QCN,uniform,16,0.0029419696030416834
QCN,uniform,17,-0.008579035002817524
QCN,uniform,18,-0.0035646110751798785
QCN,uniform,19,-0.001927584737655293
QCN,uniform,20,-0.09847404887963655
QCN,uniform,21,0.1208581003268737
QCN,uniform,22,0.0009748827792486708
QCN,uniform,23,-0.0007075102965111386
QCN,uniform,24,-0.012479806859911355
QCN,narrow,0,-1.5057059504021158e-05
QCN,narrow,1,-0.00043241369702666684
QCN,narrow,2,0.0007726229573010233
QCN,narrow,3,0.001097867884501673
QCN,narrow,4,0.0005388204989240822
QCN,narrow,5,-0.00010396249508150585
QCN,narrow,6,-4.9996100755541084e-05
QCN,narrow,7,0.002775107858226727
QCN,narrow,8,0.00013110736438787067
QCN,narrow,9,0.0002163117226499113
QCN,narrow,10,-0.00020746106786411657
QCN,narrow,11,-0.0006901268514622964
QCN,narrow,12,1.6709704287961964e-05
QCN,narrow,13,0.0006979768679901616
QCN,narrow,14,-0.001875668100563435
QCN,narrow,15,0.0007328186171417791
QCN,narrow,16,0.0024818816859162695
QCN,narrow,17,-0.0018423550718046208
QCN,narrow,18,0.00040541379441031214
QCN,narrow,19,-0.0009760187984571857
QCN,narrow,20,0.00017360213929529114
QCN,narrow,21,2.4995102570993064e-05
QCN,narrow,22,-0.0006707540371935363
QCN,narrow,23,-6.223510762691739e-05
