model,init_strategy,seed,gradient
QCapsule,uniform,0,0.0002149901492025675
QCapsule,uniform,1,0.0013234240818167902
QCapsule,uniform,2,0.0025691565418752274
QCapsule,uniform,3,-0.00010365367066093062
QCapsule,uniform,4,-0.006173816854056975
QCapsule,uniform,5,-0.0019205456588964292
QCapsule,uniform,6,6.642109446124236e-05
QCapsule,uniform,7,0.0002079418884643622
QCapsule,uniform,8,0.0028943532743910213
QCapsule,uniform,9,-0.0002275289400867467
QCapsule,uniform,10,0.0025850941448841516
QCapsule,uniform,11,0.0027253797825342358
QCapsule,uniform,12,-0.00018476556435016142
QCapsule,uniform,13,0.0009046656386528987
QCapsule,uniform,14,0.001252680140979828
QCapsule,uniform,15,-0.000111202513380323
QCapsule,uniform,16,0.0008067581715683903
QCapsule,uniform,17,0.0017602332776421859
QCapsule,uniform,18,0.0004277606478096538
QCapsule,uniform,19,0.0001605536706374759
QCapsule,uniform,20,-0.002699953768570877
QCapsule,uniform,21,0.0002397467368917819
QCapsule,uniform,22,1.2641103911785883e-05
QCapsule,uniform,23,0.0001246973687202121
QCapsule,uniform,24,0.00015273720992683005
QCapsule,narrow,0,-0.00016268711405723928
QCapsule,narrow,1,-0.001725091687759193
QCapsule,narrow,2,0.0005121854132375564
QCapsule,narrow,3,7.503747375292608e-06
QCapsule,narrow,4,-4.205964204736621e-05
QCapsule,narrow,5,-9.955113242144205e-06
QCapsule,narrow,6,-0.0009681340982119103
QCapsule,narrow,7,0.0002776611034289966
QCapsule,narrow,8,-0.0006465300845592467
QCapsule,narrow,9,0.0014604208808198678
QCapsule,narrow,10,8.190603457991694e-05
QCapsule,narrow,11,0.003521434682104809
QCapsule,narrow,12,-0.0005677095377204717
QCapsule,narrow,13,9.938962976314801e-05
QCapsule,narrow,14,-0.00015181393114413168
QCapsule,narrow,15,0.00023423151879116256
QCapsule,narrow,16,0.0007121453164304728
QCapsule,narrow,17,-0.000151053527192272
QCapsule,narrow,18,0.0001709500077940306
QCapsule,narrow,19,7.981355854695624e-06
QCapsule,narrow,20,-0.000657493928751448
QCapsule,narrow,21,-4.417326097338627e-05
QCapsule,narrow,22,0.001550787685925415
QCapsule,narrow,23,0.0026166670118212554
QCapsule,narrow,24,-0.0013742179845806376
QCapsule,identity,0,6.015367949804318e-06
QCapsule,identity,1,-1.6319265704055973e-06
QCapsule,identity,2,1.279394448763787e-06
QCapsule,identity,3,9.36508574540888e-07
QCapsule,identity,4,1.033235954574416e-05
QCapsule,identity,5,-1.4583320904002193e-08
QCapsule,identity,6,-6.04391564758082e-07
QCapsule,identity,7,3.454695968435373e-06
QCapsule,identity,8,1.8521445498828366e-06
QCapsule,identity,9,-9.78550619346092e-06
QCapsule,identity,10,-4.050706596061931e-06
QCapsule,identity,11,6.707043966116092e-07
QCapsule,identity,12,-1.665572856654309e-05
QCapsule,identity,13,3.419586185592349e-06
QCapsule,identity,14,-1.845281624689471e-06
QCapsule,identity,15,-1.0419731334401954e-05
QCapsule,identity,16,-1.974234470988806e-06
QCapsule,identity,17,-1.270057429367612e-05
QCapsule,identity,18,-1.6771799265088053e-06
QCapsule,identity,19,-9.666730306468447e-07
QCapsule,identity,20,1.4718286665929598e-05
QCapsule,identity,21,-5.642783032589446e-06
QCapsule,identity,22,1.2739917756077792e-05
QCapsule,identity,23,-3.071027568036013e-08
QCapsule,identity,24,1.4893750053493805e-05
QCapsule,normal,0,-0.000741249078446765
QCapsule,normal,1,0.003586293913273055
QCapsule,normal,2,-0.004369288115148683
QCapsule,normal,3,0.0007789926160801791
QCapsule,normal,4,-2.2163994392157454e-05
QCapsule,normal,5,-9.457391430672297e-07
QCapsule,normal,6,0.0005181085407970725
QCapsule,normal,7,0.0010767609089603687
QCapsule,normal,8,0.0006198002969015349
QCapsule,normal,9,-0.0004240851294048176
QCapsule,normal,10,0.0012155682257745507
QCapsule,normal,11,-0.0003422541999695388
QCapsule,normal,12,-4.635903497238925e-05
QCapsule,normal,13,0.0004382056991699334
QCapsule,normal,14,0.0016234263038488995
QCapsule,normal,15,0.0001737547033737549
QCapsule,normal,16,0.00024250462699736738
QCapsule,normal,17,0.0014975581087463036
QCapsule,normal,18,0.0011986669191759287
QCapsule,normal,19,0.0008287865416194502
QCapsule,normal,20,0.0005016823236456624
QCapsule,normal,21,-7.425435008058301e-06
QCapsule,normal,22,-4.633582203162892e-05
QCapsule,normal,23,-0.0009964736639268342
QCapsule,normal,24,-0.00030261437739479823
qMPS,uniform,0,-0.0003350760960583932
qMPS,uniform,1,-4.7501287311014794e-05
qMPS,uniform,2,-3.0983975119191496e-06
qMPS,uniform,3,-2.4522579217029757e-05
qMPS,uniform,4,-7.521195293850909e-05
qMPS,uniform,5,-0.00012873506526165144
qMPS,uniform,6,2.731060363932664e-05
qMPS,uniform,7,-2.3880401473574686e-05
qMPS,uniform,8,-1.0678258131005174e-05
qMPS,uniform,9,-0.00015557354562438988
qMPS,uniform,10,-3.0365960056893426e-06
qMPS,uniform,11,6.693690334641925e-06
qMPS,uniform,12,9.103364044422013e-07
qMPS,uniform,13,0.00023615906363586201
qMPS,uniform,14,0.0001721724457036222
qMPS,uniform,15,1.584234144877646e-05
qMPS,uniform,16,-6.251359493572108e-05
qMPS,uniform,17,0.00010025623405897465
qMPS,uniform,18,7.137343388159258e-06
qMPS,uniform,19,-1.3243156140692063e-05
qMPS,uniform,20,0.0002560089558040898
qMPS,uniform,21,8.101693508248191e-06
qMPS,uniform,22,0.00015533529074343095
qMPS,uniform,23,4.480296869291019e-07
qMPS,uniform,24,-8.344774368988013e-06
qMPS,narrow,0,0.00011277874979472794
qMPS,narrow,1,4.014139065725371e-05
qMPS,narrow,2,0.00010594294259849716
qMPS,narrow,3,0.00023789746786314958
qMPS,narrow,4,2.9323005643538334e-05
qMPS,narrow,5,8.245124175498407e-05
qMPS,narrow,6,0.000315804864531917
qMPS,narrow,7,0.00011976582784363784
qMPS,narrow,8,0.001460475951469139
qMPS,narrow,9,9.684326622357757e-06
qMPS,narrow,10,7.214593044582304e-05
qMPS,narrow,11,2.770426492722459e-05
qMPS,narrow,12,0.00016653984156110685
qMPS,narrow,13,-1.9711805321820265e-05
qMPS,narrow,14,-5.137546307450223e-05
qMPS,narrow,15,-9.175414405399617e-05
qMPS,narrow,16,-7.319718650189934e-07
qMPS,narrow,17,-2.1730325318923266e-05
qMPS,narrow,18,0.0008319023217399319
qMPS,narrow,19,-4.0895258681958904e-05
qMPS,narrow,20,2.808574446918319e-06
qMPS,narrow,21,0.00024667038428666005
qMPS,narrow,22,-2.833961872521413e-05
qMPS,narrow,23,0.0003798891354627689
qMPS,narrow,24,0.0003319079139756478
qMPS,identity,0,-8.902192347423746e-06
qMPS,identity,1,1.2148688021465728e-06
qMPS,identity,2,-4.7058710610045396e-08
qMPS,identity,3,-9.97913809622721e-07
qMPS,identity,4,1.0286146789497989e-09
qMPS,identity,5,5.007078300995552e-08
qMPS,identity,6,1.5901928811868607e-06
qMPS,identity,7,8.594815367201496e-08
qMPS,identity,8,-5.927623486853192e-05
qMPS,identity,9,-5.164862481113955e-07
qMPS,identity,10,6.003094515923687e-06
qMPS,identity,11,-3.586009710083998e-07
qMPS,identity,12,1.643613445625341e-07
qMPS,identity,13,-5.751259492560546e-08
qMPS,identity,14,-3.878708541898213e-05
qMPS,identity,15,-1.7053795796630637e-06
qMPS,identity,16,1.3426524190540894e-06
qMPS,identity,17,-3.3883338622661903e-06
qMPS,identity,18,-3.639400886411878e-08
qMPS,identity,19,-2.2423813732538697e-06
qMPS,identity,20,1.3841670938655186e-06
qMPS,identity,21,-1.5412887640416394e-05
qMPS,identity,22,-7.646138918123593e-07
qMPS,identity,23,-5.555540387413706e-06
qMPS,identity,24,3.5709728195934787e-06
qMPS,normal,0,0.00015836503208735834
qMPS,normal,1,-1.5916467218377606e-06
qMPS,normal,2,2.0562733455237377e-06
qMPS,normal,3,9.201515121316858e-05
qMPS,normal,4,-5.345744367352498e-06
qMPS,normal,5,-7.639313565898163e-05
qMPS,normal,6,1.7632913929680691e-06
qMPS,normal,7,-2.733137672775088e-05
qMPS,normal,8,7.587563372337101e-05
qMPS,normal,9,5.572400493035726e-07
qMPS,normal,10,0.00025067945894310944
qMPS,normal,11,-0.00010054558673432427
qMPS,normal,12,2.3096170228758014e-05
qMPS,normal,13,2.615919200639744e-05
qMPS,normal,14,-4.758791662675546e-06
qMPS,normal,15,0.00012107369382880712
qMPS,normal,16,-3.10957011045818e-05
qMPS,normal,17,2.5865183736631328e-05
qMPS,normal,18,1.3693835102028747e-05
qMPS,normal,19,6.500506957651728e-07
qMPS,normal,20,-1.53062268307427e-05
qMPS,normal,21,1.5021907981524888e-05
qMPS,normal,22,3.6102224115149027e-06
