model,init_strategy,seed,gradient
QCN_Modified,uniform,0,0.004982557496876949
QCN_Modified,uniform,1,0.04956577273609478
QCN_Modified,uniform,2,-0.009705904654972763
QCN_Modified,uniform,3,-0.0025798755453627937
QCN_Modified,uniform,4,0.00046933998425089036
QCN_Modified,uniform,5,0.014064956937225363
QCN_Modified,uniform,6,-0.0450577744592122
QCN_Modified,uniform,7,-0.0008583439366235205
QCN_Modified,uniform,8,-0.0002526536331393749
QCN_Modified,uniform,9,-0.0007423698427813932
QCN_Modified,uniform,10,0.03143488491715129
QCN_Modified,uniform,11,-0.025309338313002482
QCN_Modified,uniform,12,0.0017420460140480341
QCN_Modified,uniform,13,-0.004221341923364404
QCN_Modified,uniform,14,0.12156196093974792
QCN_Modified,uniform,15,-0.034167325847326034
QCN_Modified,uniform,16,0.0029419696030416986
QCN_Modified,uniform,17,-0.008579035002817481
QCN_Modified,uniform,18,-0.003564611075179878
QCN_Modified,uniform,19,-0.0019275847376552895
QCN_Modified,uniform,20,-0.09847404887963665
QCN_Modified,uniform,21,0.12085810032687384
QCN_Modified,uniform,22,0.0009748827792486622
QCN_Modified,uniform,23,-0.0007075102965111193
QCN_Modified,uniform,24,-0.012479806859911362
QCN_Modified,narrow,0,-7.465137594444173e-05
QCN_Modified,narrow,1,-0.0009648506049142526
QCN_Modified,narrow,2,0.0014059294598234868
QCN_Modified,narrow,3,0.0027413150608738895
QCN_Modified,narrow,4,0.0008416188150489574
QCN_Modified,narrow,5,-3.562600230647598e-05
QCN_Modified,narrow,6,-0.00030859622016796823
QCN_Modified,narrow,7,0.006078729897668497
QCN_Modified,narrow,8,0.0004955941166509146
QCN_Modified,narrow,9,0.0005344729580244216
QCN_Modified,narrow,10,-0.00032508473525789304
QCN_Modified,narrow,11,-0.0013656151509735307
QCN_Modified,narrow,12,6.041904990310021e-05
QCN_Modified,narrow,13,0.0023458838058472
QCN_Modified,narrow,14,-0.004084846252575913
QCN_Modified,narrow,15,0.001594990880716827
QCN_Modified,narrow,16,0.006687307581713799
QCN_Modified,narrow,17,-0.0027905289423592722
QCN_Modified,narrow,18,0.0013810961894685596
QCN_Modified,narrow,19,-0.0012549564343020483
QCN_Modified,narrow,20,0.0004331198818661504
QCN_Modified,narrow,21,7.879894819412059e-05
QCN_Modified,narrow,22,-0.0017992664006388204
QCN_Modified,narrow,23,-0.0001761323539366392
QCN_Modified,narrow,24,0.0002616564389330839
QCN_Modified,identity,0,3.996540477106995e-08
QCN_Modified,identity,1,-1.4820876221459655e-07
QCN_Modified,identity,2,2.2626865811317533e-07
QCN_Modified,identity,3,-5.615888768872786e-08
QCN_Modified,identity,4,3.2341008691719084e-09
QCN_Modified,identity,5,1.3111615944221458e-07
QCN_Modified,identity,6,-6.640082645520012e-07
QCN_Modified,identity,7,-1.544766362677647e-08
QCN_Modified,identity,8,2.957077933984436e-09
QCN_Modified,identity,9,-1.7197684161643726e-08
QCN_Modified,identity,10,-2.051742492036143e-10
QCN_Modified,identity,11,-7.893887163209283e-08
QCN_Modified,identity,12,-1.9193502355856059e-07
QCN_Modified,identity,13,2.1034472778024084e-08
QCN_Modified,identity,14,-3.64716709797912e-08
QCN_Modified,identity,15,3.041803857801576e-07
QCN_Modified,identity,16,1.2639157999475038e-07
QCN_Modified,identity,17,-5.007075810918505e-08
QCN_Modified,identity,18,-9.773207150606295e-09
QCN_Modified,identity,19,2.1553926720412175e-09
QCN_Modified,identity,20,-3.9551919551889816e-08
QCN_Modified,identity,21,-2.5522535127596537e-08
QCN_Modified,identity,22,-4.0553541845394647e-07
QCN_Modified,identity,23,2.0594387159993855e-07
QCN_Modified,identity,24,-1.320059349379537e-07
QCN_Modified,normal,0,0.001425636901661218
QCN_Modified,normal,1,4.877547399983961e-05
QCN_Modified,normal,2,-0.021457399951731126
QCN_Modified,normal,3,0.0018438615445334594
QCN_Modified,normal,4,-0.026421070505140625
QCN_Modified,normal,5,-0.002023482257117394
QCN_Modified,normal,6,-0.048161266811776675
QCN_Modified,normal,7,0.011173355791631699
QCN_Modified,normal,8,-0.009396655319871449
QCN_Modified,normal,9,0.04782334229797577
QCN_Modified,normal,10,-0.0015696786878493722
QCN_Modified,normal,11,-0.02204348499195068
QCN_Modified,normal,12,0.005643132172738421
QCN_Modified,normal,13,0.000938418880505128
QCN_Modified,normal,14,0.01246810614295553
QCN_Modified,normal,15,-0.0073641971799146555
QCN_Modified,normal,16,-0.00010909372787180893
QCN_Modified,normal,17,0.05116991692664973
QCN_Modified,normal,18,-0.04715852235891134
QCN_Modified,normal,19,-0.026496342923614174
QCN_Modified,normal,20,-0.0004329872386193876
QCN_Modified,normal,21,0.0013084729723272478
QCN_Modified,normal,22,0.01672901637813173
QCN_Modified,normal,23,0.0009628210351607366
QCN_Modified,normal,24,0.009250778739360706
