Epoch,Loss,Train_Acc,Test_Acc,Grad_Var_Mean,Grad_Var_Std
1,0.828266,0.9296,0.8667,4.6087e-03,9.1936e-03
2,0.691434,0.9333,0.9222,4.0007e-03,8.2002e-03
3,0.639754,0.9519,0.9333,4.5841e-03,1.0466e-02
4,0.547361,0.9704,0.9333,4.0545e-03,9.0110e-03
5,0.530428,0.9481,0.9333,4.0297e-03,9.7374e-03
6,0.508987,0.9519,0.9111,4.0655e-03,1.1794e-02
7,0.494688,0.9519,0.8889,4.4352e-03,1.1190e-02
8,0.487862,0.9667,0.9444,2.9473e-03,6.5503e-03
9,0.475466,0.9556,0.9333,4.3600e-03,1.0734e-02
10,0.470999,0.9926,0.9778,3.7275e-03,9.4593e-03
11,0.466381,0.9852,0.9556,3.3417e-03,8.3463e-03
12,0.461618,0.9778,0.9444,3.4362e-03,8.3948e-03
13,0.471496,0.9741,0.9667,4.2039e-03,1.0653e-02
14,0.463776,0.9852,0.9444,3.5042e-03,8.6510e-03
15,0.462184,0.9852,0.9111,2.7037e-03,7.2465e-03
16,0.471126,0.9926,0.9667,4.1206e-03,9.7011e-03
17,0.472593,0.9852,0.9444,2.9853e-03,7.1109e-03
18,0.467793,0.9815,0.9556,3.7099e-03,9.4168e-03
19,0.463123,0.9778,0.9222,4.5289e-03,1.1517e-02
20,0.461339,0.9852,0.9889,4.3533e-03,1.2052e-02
21,0.460729,0.9667,0.9222,4.3185e-03,1.0876e-02
22,0.476546,0.9889,0.9889,3.4892e-03,7.8960e-03
23,0.475238,0.9963,0.9889,2.8388e-03,6.3775e-03
24,0.455495,0.9889,0.9444,3.0429e-03,7.5985e-03
25,0.453989,0.9889,0.9667,3.3306e-03,8.6666e-03
26,0.445132,0.9778,0.9667,3.6193e-03,8.8874e-03
27,0.442207,0.9852,0.9556,4.5407e-03,1.0052e-02
28,0.438247,0.9852,0.9778,2.8563e-03,7.4131e-03
29,0.446893,0.9926,0.9667,4.0163e-03,1.0178e-02
30,0.443289,0.9889,0.9889,4.3714e-03,1.0225e-02
